RatioAdultToPW,Ccode,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Eritrea,232,1.3656555,1.356103004,1.348396471,1.315061711,1.302414495,1.27562515,1.244939257,1.208925951,1.171368664,1.128958724,1.096569984,1.068234492,1.046269565,1.0272,1.011865639,1.002801085,0.997545109,0.995220652,0.996802896,0.997309394,1.00320295,1.024653574,1.068753507,1.116749562,1.179673526,1.246334402,1.318013154,1.386296623,1.473881423,1.562452946,1.645115103,1.719429383,1.785910191,1.83776348,1.865762406,1.882174274,1.882174274
Ethiopia,231,1.122709618,1.077443332,1.039392921,1.004827918,0.976371918,0.945903096,0.92656397,0.907883097,0.885020766,0.866182861,0.849452852,0.831714459,0.816809541,0.802039145,0.790124477,0.781440702,0.774311708,0.769484601,0.765498698,0.764924823,0.769720869,0.77925323,0.794804788,0.824166257,0.857595323,0.891893809,0.934916965,0.976621746,1.009953682,1.053102634,1.079993555,1.104428445,1.128041599,1.147004232,1.158564288,1.163689001,1.163689001
Gabon,266,1.259649964,1.230872546,1.200542832,1.174746717,1.162829463,1.142859375,1.126020468,1.113432969,1.095795545,1.075016433,1.058830723,1.037211111,1.021069705,1.002532615,0.983947886,0.964353618,0.946575983,0.930704343,0.91841258,0.906428343,0.907041588,0.917184335,0.927890989,0.942870593,0.963260267,0.98545082,1.010013164,1.041421517,1.075276866,1.112569412,1.143601835,1.171597484,1.199308652,1.227466332,1.252733894,1.279883892,1.279883892
Gambia,270,1.2419388,1.2077,1.11905024,1.15968132,1.130237164,1.092503462,1.083863769,1.066946899,1.050979846,1.035467785,1.029966225,1.017454427,1.006322226,1.003048877,1.001545276,0.999132922,0.999524341,0.997084677,0.994215043,0.999950456,0.997910412,0.99836789,1.004156541,1.013022222,1.021784816,1.027164629,1.042368923,1.060853001,1.076601156,1.096553837,1.120744886,1.145464619,1.162255025,1.193817526,1.217637931,1.248295055,1.248295055
Ghana,288,1.210232605,1.103321363,1.031032847,0.979826141,0.940937152,0.916971792,0.898136883,0.880784869,0.863157687,0.851938303,0.834283579,0.820742896,0.809756598,0.797564928,0.787914849,0.779702029,0.775305955,0.771620168,0.766519183,0.767931741,0.767080526,0.770768319,0.775891912,0.78505045,0.791866512,0.802481682,0.819923157,0.841560919,0.860550612,0.879885599,0.912565684,0.953079829,0.983070806,1.026993359,1.074756455,1.116210365,1.116210365
Guinea,324,1.505318104,1.456542867,1.400160387,1.371423243,1.349473035,1.334836141,1.325889038,1.312372896,1.279278178,1.233386579,1.196576171,1.168728742,1.149910023,1.1342,1.125487232,1.120133333,1.116776448,1.121232736,1.116195861,1.117773992,1.124998036,1.129649754,1.137158757,1.140064516,1.145150935,1.153240712,1.16021625,1.167872686,1.180115192,1.201565396,1.219392052,1.232512845,1.256061354,1.284169338,1.309035752,1.344827683,1.344827683
Guinea-Bissau,624,2.446222541,2.116396,1.919629957,1.754492093,1.636751594,1.523171054,1.447748807,1.391614854,1.347088095,1.30448179,1.27132342,1.237224,1.21387452,1.188638304,1.159669014,1.13882045,1.128038661,1.114654632,1.109328622,1.101421314,1.098758645,1.095706061,1.097696392,1.101660773,1.111405831,1.117319028,1.127117634,1.136267225,1.143391533,1.16240789,1.184425193,1.21326175,1.241990959,1.269987404,1.306020222,1.341027778,1.341027778
Haiti,332,1.39019032,1.285306324,1.204026575,1.133426141,1.074644446,1.02904405,0.989996904,0.960042928,0.934843207,0.915639792,0.900545972,0.889615363,0.880998606,0.877343321,0.876362698,0.876420839,0.88089363,0.885904131,0.889623053,0.897399102,0.902377266,0.908541417,0.914458402,0.918374807,0.925582681,0.931520537,0.930977895,0.932870748,0.927949462,0.913968454,0.906294611,0.905174749,0.913993013,0.920330943,0.927976043,0.936706625,0.936706625
Kenya,404,1.576943575,1.371951981,1.27551256,1.215804625,1.169792088,1.134472153,1.097518712,1.060105336,1.018153588,0.975217592,0.935246548,0.905991808,0.887949783,0.879550653,0.877835111,0.884576068,0.893202215,0.905044811,0.91948809,0.936190855,0.957419849,0.981700601,1.012143993,1.03680951,1.055299163,1.0776203,1.097323322,1.111913328,1.130580308,1.144398984,1.155460657,1.16461267,1.172151277,1.176315865,1.181013066,1.18362008,1.18362008
Lesotho,426,3.1462158,1.90064784,1.820301907,1.646107307,1.516921655,1.426111902,1.340053812,1.260133674,1.191586369,1.12373361,1.060311017,1.005514754,0.962678733,0.932582635,0.912349453,0.899989468,0.894398949,0.894106429,0.895136193,0.896830604,0.900705056,0.907035897,0.916921136,0.930059418,0.939190326,0.948268726,0.960076723,0.971552022,0.98182098,1.002947993,1.028175805,1.053728239,1.079965347,1.107157398,1.133778854,1.159733417,1.159733417
Liberia,430,1.587149085,1.525826058,1.472293908,1.417954391,1.380666414,1.340090014,1.310525838,1.278641848,1.250741573,1.220068676,1.19852047,1.17732828,1.163793688,1.154670316,1.142841819,1.136843924,1.129618263,1.1314938,1.130442775,1.137422605,1.147512921,1.164500041,1.189406724,1.210100252,1.229319141,1.250460816,1.27458,1.304147298,1.318181984,1.329890452,1.331813869,1.330809756,1.328914946,1.326787046,1.32231344,1.318955534,1.318955534
Malawi,454,1.235409015,1.16771392,1.114742968,1.076753414,1.048574015,1.029326097,1.015990671,1.006113844,0.997382649,0.990734303,0.985727232,0.98262551,0.979753554,0.976494382,0.972953774,0.968625948,0.96420756,0.960134379,0.956543087,0.954299159,0.955303348,0.960103934,0.969619602,0.983115431,1.00014928,1.019505335,1.041713472,1.065716954,1.09336913,1.126831616,1.160364846,1.189258332,1.220245905,1.251558374,1.280162271,1.309201629,1.309201629
Mali,466,1.703587713,1.630627465,1.578431604,1.518803129,1.465220025,1.408495202,1.366167835,1.322831797,1.283500065,1.253245396,1.220456488,1.194555753,1.18215773,1.162989573,1.152152445,1.140335136,1.139375444,1.141335048,1.143280941,1.149889635,1.163495618,1.177681159,1.197083612,1.229178624,1.24426913,1.262501024,1.293965322,1.321575838,1.341365586,1.394226636,1.443169986,1.489041698,1.539384078,1.590816979,1.642548676,1.691842752,1.691842752
Mozambique,508,3.032823114,2.590002311,2.265717653,2.02845513,1.841514987,1.703546065,1.576380262,1.487694171,1.416746594,1.355985252,1.308680356,1.272112871,1.23626799,1.204669106,1.178345228,1.14802064,1.119162813,1.091073542,1.066271828,1.047085035,1.0299136,1.017667938,1.010799447,1.011533039,1.016781736,1.023732483,1.031680326,1.045710986,1.061438191,1.084947092,1.109668321,1.135739855,1.164913775,1.192112025,1.216132126,1.238820364,1.238820364
